symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
JUVUSDT,-0.08000000,-1.471,5.37960814,5.45000000,5.36000000,26.00000000,5.36000000,180.79000000,5.37000000,232.34000000,5.44000000,5.46000000,5.25000000,167990.87000000,903725.05170000,1662919798000,1663006198000,10781454,10788670,7217
PSGBTC,-0.00002000,-4.801,0.00040757,0.00041710,0.00039660,2.27000000,0.00039660,20.00000000,0.00039800,0.34000000,0.00041660,0.00041970,0.00039000,15265.40000000,6.22169738,1662919777625,1663006177625,4155476,4156485,1010
PSGBUSD,-0.15000000,-1.663,8.94243576,9.02000000,8.87000000,11.28000000,8.86000000,28.00000000,8.88000000,34.99000000,9.02000000,9.13000000,8.61000000,38762.62000000,346632.23930000,1662919779540,1663006179540,3953718,3955931,2214
PSGUSDT,-0.12000000,-1.333,8.92058736,9.00000000,8.88000000,25.90000000,8.86000000,56.90000000,8.88000000,14.48000000,9.00000000,9.08000000,8.61000000,195898.34000000,1747528.25580000,1662919786788,1663006186788,19677361,19688336,10976
BUSDBVND,0.00,0.000,0.00,23720.00,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00,0.00,0.00000000,0.00,1661527756652,1661614156652,-1,-1,0
USDTBVND,0.00,0.000,0.00,23710.00,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00,0.00,0.00000000,0.00,1661527756652,1661614156652,-1,-1,0
1INCHBTC,-0.00000168,-5.476,0.00002974,0.00003063,0.00002900,34.50000000,0.00002897,873.30000000,0.00002901,1006.20000000,0.00003068,0.00003068,0.00002878,446590.00000000,13.27999313,1662919797855,1663006197855,9491213,9495206,3994
1INCHUSDT,-0.01700000,-2.564,0.65321726,0.66300000,0.64600000,1641.00000000,0.64600000,5006.40000000,0.64700000,24485.80000000,0.66300000,0.67500000,0.63400000,5679742.10000000,3710105.58590000,1662919797952,1663006197952,69017474,69037003,19530
REEFBTC,0.00000000,0.000,0.00000000,0.00000014,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1661527756652,1661614156652,-1,-1,0
REEFUSDT,0.00142000,36.645,0.00492070,0.00387600,0.00529500,19432.00000000,0.00529500,110568.00000000,0.00530000,130000.00000000,0.00387500,0.00615000,0.00376100,7918504013.00000000,38964565.83722300,1662919798020,1663006198020,63513285,63690839,177555
OGBTC,-0.00001540,-5.447,0.00027683,0.00028380,0.00026730,2.30000000,0.00026760,1.50000000,0.00026900,18.60000000,0.00028270,0.00028920,0.00026550,27326.30000000,7.56477639,1662919736954,1663006136954,3468767,3470037,1271
OGUSDT,-0.14700000,-2.400,6.09003510,6.12500000,5.97800000,10.00000000,5.97300000,9.90000000,5.97700000,66.30000000,6.12500000,6.20200000,5.92000000,277475.80000000,1689837.36090000,1662919793279,1663006193279,13329379,13336766,7388
ATMBTC,-0.00001180,-5.493,0.00020844,0.00021500,0.00020300,11.00000000,0.00020310,154.59000000,0.00020350,3.00000000,0.00021480,0.00021560,0.00020230,15639.30000000,3.25985928,1662919787182,1663006187182,3546130,3547472,1343
ATMUSDT,-0.10000000,-2.155,4.59552688,4.65000000,4.54000000,640.85000000,4.53000000,491.73000000,4.54000000,412.15000000,4.64000000,4.66000000,4.46000000,165391.94000000,760063.10670000,1662919797332,1663006197332,13818650,13824451,5802
ASRBTC,-0.00000980,-4.847,0.00019856,0.00020310,0.00019240,1.10000000,0.00019170,111.30000000,0.00019250,149.10000000,0.00020220,0.00020350,0.00019120,17556.70000000,3.48602945,1662919797993,1663006197993,2535858,2536848,991
ASRUSDT,-0.09300000,-2.123,4.35103061,4.38000000,4.28800000,34.40000000,4.28300000,71.80000000,4.28900000,89.90000000,4.38100000,4.45200000,4.23100000,214599.10000000,933727.25210000,1662919798002,1663006198002,9187513,9195093,7581
CELOBTC,-0.00000137,-3.341,0.00004047,0.00004100,0.00003963,2.50000000,0.00003955,227.70000000,0.00003961,227.30000000,0.00004100,0.00004156,0.00003934,211112.60000000,8.54470213,1662919787545,1663006187545,5498515,5500249,1735
CELOUSDT,-0.00500000,-0.564,0.89025165,0.88800000,0.88200000,2399.60000000,0.88200000,11330.20000000,0.88300000,2086.40000000,0.88700000,0.91400000,0.86500000,4617848.50000000,4111047.24060000,1662919791076,1663006191076,35488559,35505379,16821
